time,open,high,low,close,BBWP,Extreme Hi,Extreme Lo,MA 1,GodModeAlert,Fast,Slow,High,Fib,Fib Green,Fib Red,EMA Long/Short,Fast,Slow,High,Fib,BBWP,God Buy,God Sell,Ultra Buy,Ultra Sell,Perfect Setup
1761386400,111521.47,111718.99,111375.81,111563.81,13.88888888888889,NaN,NaN,10.555555555555554,0,69.41044592828173,63.31185737850993,57.41982424837293,66.49043883321445,1,0,1,69.41044592828173,63.31185737850993,57.41982424837293,66.49043883321445,-26.4,0,0,0,0,0
1761393600,111563.81,111943.19,111520,111680.91,16.666666666666664,NaN,NaN,12.3015873015873,0,72.24050953781213,63.89408823348052,58.287849982890556,67.577533201242,1,0,1,72.24050953781213,63.89408823348052,58.287849982890556,67.577533201242,-26.4,0,0,0,0,0
1761400800,111680.92,111765.97,111311.19,111385.18,18.253968253968253,NaN,NaN,14.206349206349206,0,72.66888630166157,64.52995343738749,58.97636487862049,66.35959750781021,1,0,1,72.66888630166157,64.52995343738749,58.97636487862049,66.35959750781021,-27,0,0,0,0,0
1761408000,111385.18,111479.99,111164.39,111374.96,9.126984126984127,NaN,NaN,14.047619047619046,0,71.00790315639983,65.10217413010888,59.390494582780065,64.27356814317135,1,0,1,71.00790315639983,65.10217413010888,59.390494582780065,64.27356814317135,-30,0,0,0,0,0
1761415200,111374.97,111731.78,111317.34,111623.45,6.349206349206349,NaN,NaN,12.857142857142856,0,69.91129539961516,65.73644572000819,59.86748244377906,65.89814149408659,1,0,1,69.91129539961516,65.73644572000819,59.86748244377906,65.89814149408659,-29.7,0,0,0,0,0
1761422400,111623.46,111659.39,111342.25,111477.76,3.1746031746031744,NaN,NaN,10.714285714285714,0,67.77580500428229,66.02281055678955,60.39786593986656,66.59905281516798,1,0,1,67.77580500428229,66.02281055678955,60.39786593986656,66.59905281516798,-29.4,0,0,0,1,0
1761429600,111477.76,111683.64,111409.54,111646.27,2.380952380952381,NaN,NaN,7.857142857142857,0,66.10247880797353,66.30488310579511,60.923641733570136,66.7546442193225,1,0,1,66.10247880797353,66.30488310579511,60.923641733570136,66.7546442193225,-29.1,0,0,0,1,0
1761436800,111646.27,111899.56,111520,111644.42,1.984126984126984,NaN,NaN,4.603174603174603,0,65.19853324537232,66.6716796739603,61.41843539219839,67.89096601671005,1,0,1,65.19853324537232,66.6716796739603,61.41843539219839,67.89096601671005,-28.8,0,0,0,1,0
1761444000,111644.41,111687.37,111260.45,111260.46,0.3968253968253968,NaN,NaN,2.8571428571428568,0,62.83038349411757,66.64438753630012,61.78293011395121,65.26043491956568,1,0,1,62.83038349411757,66.64438753630012,61.78293011395121,65.26043491956568,-27.3,0,1,0,0,0
1761451200,111260.46,111650.9,111260.46,111615.32,0,NaN,NaN,1.5873015873015874,0,61.51986632398511,66.59604449364625,62.0574740583119,65.06202519735298,1,0,1,61.51986632398511,66.59604449364625,62.0574740583119,65.06202519735298,-27.3,0,1,0,0,0
1761458400,111615.33,111724.96,111548.75,111723.98,0.3968253968253968,NaN,NaN,1.0317460317460312,0,61.30996569588915,66.69988921843218,62.37161138816707,78.65094236633672,1,0,1,61.30996569588915,66.69988921843218,62.37161138816707,78.65094236633672,-26.7,0,0,0,1,0
1761465600,111723.98,112779.81,111708.63,112528.83,7.142857142857142,NaN,NaN,1.9841269841269842,0,62.93907793040882,67.30723384219536,62.84415700378589,92.85737800183132,1,0,1,62.93907793040882,67.30723384219536,62.84415700378589,92.85737800183132,-18,0,0,0,0,0
