time,open,high,low,close,GodModeAlert,Fast,Slow,High,Fib,Fib Green,Fib Red,EMA Long/Short,BBWP,Extreme Hi,Extreme Lo,MA 1,Fast,Slow,High,Fib,BBWP,God Buy,God Sell,Ultra Buy,Ultra Sell,Perfect Setup
1759233600,113055,113677.23,112866.11,113106.16,0,79.39328704335051,65.25417858617163,43.25596259521779,62.2743077638505,1,0,-1,85.71428571428571,NaN,NaN,94.76190476190477,79.39328704335051,65.25417858617163,43.25596259521779,62.2743077638505,-13.8,0,0,0,0,0
1759248000,113106.15,114563.46,112800,114359.99,0,76.30932360219626,67.22334110343351,44.6206141702379,72.20673482064271,1,0,1,80.95238095238095,NaN,NaN,91.19047619047619,76.30932360219626,67.22334110343351,44.6206141702379,72.20673482064271,-13.2,0,0,0,0,0
1759262400,114359.99,114754.87,113765.42,114048.93,0,72.94613983379958,68.24852117937418,45.87036125141053,79.9304499356028,1,0,1,66.26984126984127,NaN,NaN,84.60317460317461,72.94613983379958,68.24852117937418,45.87036125141053,79.9304499356028,-13.8,0,0,0,0,0
1759276800,114048.94,114551.76,113966.67,114176.92,0,70.75789814293378,69.1895496793093,47.17930742978835,80.30145528885683,1,0,1,61.50793650793651,NaN,NaN,77.30158730158732,70.75789814293378,69.1895496793093,47.17930742978835,80.30145528885683,-14.4,0,0,0,0,0
1759291200,114176.93,114740,114151,114539.02,0,70.78702866109072,70.40442540624083,48.67791268058677,89.05650779840997,1,0,1,55.952380952380956,NaN,NaN,70.07936507936509,70.78702866109072,70.40442540624083,48.67791268058677,89.05650779840997,-13.5,0,0,0,0,0
1759305600,114539.02,116795.85,114484.43,116789.58,0,73.56644195958444,72.10629089111472,50.6528523653825,97.91221507026461,1,0,1,71.42857142857143,NaN,NaN,67.22222222222223,73.56644195958444,72.10629089111472,50.6528523653825,97.91221507026461,-2.6999999999999993,0,0,0,0,0
1759320000,116789.57,117649.99,116363.38,117423.73,0,77.26202770015944,73.59359176362322,52.83269656202689,98.70882001516955,1,0,1,79.76190476190477,NaN,NaN,66.984126984127,77.26202770015944,73.59359176362322,52.83269656202689,98.70882001516955,-0.3000000000000007,0,0,0,0,0
1759334400,117423.73,118199,116724.56,117439.53,0,80.0427718193908,74.86070190747563,55.120206336357484,94.78289130893535,1,0,1,86.90476190476191,NaN,NaN,71.11111111111113,80.0427718193908,74.86070190747563,55.120206336357484,94.78289130893535,-0.3000000000000007,0,0,0,0,0
1759348800,117439.53,118649.1,117163.25,118594.99,-1,83.46470302437682,76.26745985637379,57.59588024034106,95.76595946172904,1,0,1,95.23809523809523,NaN,NaN,77.85714285714286,83.46470302437682,76.26745985637379,57.59588024034106,95.76595946172904,0,0,0,0,0,0
1759363200,118594.99,119456.92,118368.05,118733.99,-1,86.34143585186473,77.59544440589143,60.084991007648,96.394715893426,1,0,1,99.60317460317461,NaN,NaN,86.5873015873016,86.34143585186473,77.59544440589143,60.084991007648,96.394715893426,-0.3000000000000007,0,0,0,0,0
1759377600,118733.99,118930.29,118279.31,118489.76,-1,87.64180513139274,78.78190175780755,62.380476798117385,92.20211592852166,1,0,1,100,NaN,NaN,92.30158730158732,87.64180513139274,78.78190175780755,62.380476798117385,92.20211592852166,-1.8000000000000007,0,0,0,0,0
1759392000,118489.76,118926.49,118354.61,118765.73,-1,87.91693260493412,80.12754544533098,64.59385228250508,92.34856069798877,1,0,1,100,NaN,NaN,96.34920634920636,87.91693260493412,80.12754544533098,64.59385228250508,92.34856069798877,-9.600000000000001,0,0,0,0,0
1759406400,118765.72,119910.79,118516.39,119910.78,-1,88.60272415198732,81.78262841715994,66.82103530320983,96.81088324552336,1,0,1,100,NaN,NaN,98.96825396825398,88.60272415198732,81.78262841715994,66.82103530320983,96.81088324552336,-9,0,0,0,0,0
1759420800,119910.78,121022.07,119359.63,120836.49,-1,89.58848564415982,83.06985695755317,68.945992960213,99.25176993935688,1,0,1,99.60317460317461,NaN,NaN,99.84126984126985,89.58848564415982,83.06985695755317,68.945992960213,99.25176993935688,-7.199999999999999,0,0,0,0,0
1759435200,120836.49,120914,120072.46,120529.35,-1,89.51247037735914,84.06599781716093,70.64868013665033,97.26536042573777,1,0,1,98.80952380952381,NaN,NaN,99.6825396825397,89.51247037735914,84.06599781716093,70.64868013665033,97.26536042573777,-7.800000000000001,0,0,0,0,0
1759449600,120529.35,120550.9,119820,120225.89,-1,88.79978952690945,84.71096968564396,72.10745903525601,94.80366069988708,1,0,1,97.22222222222221,NaN,NaN,99.12698412698414,88.79978952690945,84.71096968564396,72.10745903525601,94.80366069988708,-8.7,0,0,0,0,0
1759464000,120225.88,120324.53,119610.59,119640.21,-1,86.61113446419802,84.67192755844617,73.25345692950991,91.21899693597803,1,0,1,87.6984126984127,NaN,NaN,96.6666666666667,86.61113446419802,84.67192755844617,73.25345692950991,91.21899693597803,-9.600000000000001,0,0,0,0,0
1759478400,119640.22,120515.89,119248.3,120334.5,-1,84.4555601241188,84.3140136243575,74.2687344116886,91.65686985970001,1,0,1,74.60317460317461,NaN,NaN,91.58730158730161,84.4555601241188,84.3140136243575,74.2687344116886,91.65686985970001,-14.700000000000001,0,0,0,0,0
1759492800,120334.51,122366,119881.24,122258.05,-1,83.05136650218805,84.116299357974,75.12629927574123,96.83532573898017,1,0,1,78.17460317460318,NaN,NaN,87.30158730158733,83.05136650218805,84.116299357974,75.12629927574123,96.83532573898017,-10.5,0,0,0,1,0
1759507200,122258.04,123894.99,121466.25,122660.99,-1,81.79901601491916,84.04208675498543,75.82046323051784,95.56803729343409,1,0,1,80.15873015873017,NaN,NaN,83.5714285714286,81.79901601491916,84.04208675498543,75.82046323051784,95.56803729343409,-7.199999999999999,0,0,0,1,0
1759521600,122661,122734.92,121999.33,122232,-1,80.32581557425664,83.72617054376838,76.3498972721365,90.51716801135454,1,0,1,78.17460317460318,NaN,NaN,79.7619047619048,80.32581557425664,83.72617054376838,76.3498972721365,90.51716801135454,-6.300000000000001,0,0,0,1,0
1759536000,122232.21,122325.6,121684.97,122243.99,-1,79.35922280377024,83.53291175955633,76.84560440220868,89.15218541242767,1,0,1,78.57142857142857,NaN,NaN,77.93650793650798,79.35922280377024,83.53291175955633,76.84560440220868,89.15218541242767,-6,0,0,0,1,0
1759550400,122243.99,122800,122219.3,122324.08,-1,78.94735310291364,83.41842781746534,77.38255305685334,89.45359451964396,1,0,1,78.17460317460318,NaN,NaN,78.6507936507937,78.94735310291364,83.41842781746534,77.38255305685334,89.45359451964396,-7.5,0,0,0,0,0
1759564800,122324.08,122539.83,121962.81,121973.26,-1,76.8781298987845,82.98842625790843,77.87422893976066,88.5674032990025,1,0,1,72.61904761904762,NaN,NaN,77.53968253968259,76.8781298987845,82.98842625790843,77.87422893976066,88.5674032990025,-13.5,0,0,0,1,0
1759579200,121973.26,122509.52,121698.88,121791.31,-1,73.00630973356184,82.17766835561868,78.30355378034122,86.8234661785462,1,0,1,62.698412698412696,NaN,NaN,74.04761904761911,73.00630973356184,82.17766835561868,78.30355378034122,86.8234661785462,-24.6,0,0,0,1,0
1759593600,121791.31,121964.95,121510,121959.25,-1,69.6821346875188,81.31452269673974,78.59060813321278,86.77760669122975,1,0,1,56.34920634920635,NaN,NaN,69.68253968253973,69.6821346875188,81.31452269673974,78.59060813321278,86.77760669122975,-23.7,0,0,0,0,0
1759608000,121959.25,122410,121871.01,122391,0,67.69110045836109,80.60024846430046,78.8898887466541,88.7405956954275,1,0,1,57.14285714285714,NaN,NaN,65.39682539682545,67.69110045836109,80.60024846430046,78.8898887466541,88.7405956954275,-26.4,0,0,0,0,0
1759622400,122390.99,124362.28,122136,123776.22,0,67.64837973195557,80.35260628011852,79.31996880616245,93.2155014214695,1,0,1,67.85714285714286,NaN,NaN,63.33333333333337,67.64837973195557,80.35260628011852,79.31996880616245,93.2155014214695,-16.5,0,0,0,0,0
1759636800,123776.23,125708.42,123734,124713.63,0,69.02612835113916,80.55621030551748,79.83221569157905,95.22784566664765,1,0,1,72.61904761904762,NaN,NaN,63.33333333333337,69.02612835113916,80.55621030551748,79.83221569157905,95.22784566664765,-8.7,0,0,0,0,0
1759651200,124713.63,124838.37,122520.24,123464.64,0,69.61052290572593,80.2659126700727,79.95582220696978,90.52404123276972,1,0,1,60.317460317460316,NaN,NaN,62.85714285714289,69.61052290572593,80.2659126700727,79.95582220696978,90.52404123276972,-8.7,0,0,0,0,0
1759665600,123464.64,123464.65,122675,122803.17,0,68.87746248636175,79.30624761597178,79.7325710983435,84.86150120861703,1,0,1,43.25396825396825,NaN,NaN,60.238095238095276,68.87746248636175,79.30624761597178,79.7325710983435,84.86150120861703,-9.600000000000001,0,0,0,0,0
1759680000,122803.17,123464,122301.63,122591.79,0,66.63760525834306,78.05887023697474,79.33003455753949,82.08467662860792,1,0,1,42.06349206349206,NaN,NaN,57.22222222222227,66.63760525834306,78.05887023697474,79.33003455753949,82.08467662860792,-11.100000000000001,0,0,0,0,0
1759694400,122591.8,123548.83,122473.62,123482.31,0,64.36582534149024,76.91867399547002,78.83174018912058,83.97052551907554,1,0,1,45.63492063492063,NaN,NaN,52.77777777777783,64.36582534149024,76.91867399547002,78.83174018912058,83.97052551907554,-14.4,0,0,0,0,0
1759708800,123482.32,124358.46,123084,123839.09,0,61.75395718384409,75.91021214070008,78.36799027943268,87.69696263282549,1,0,1,50.39682539682539,NaN,NaN,48.333333333333385,61.75395718384409,75.91021214070008,78.36799027943268,87.69696263282549,-15.9,0,0,0,0,0
1759723200,123839.09,124165.56,123280.49,123390.47,0,58.84078283864444,75.00737964325063,77.98190588710729,87.42106774685443,1,0,1,48.41269841269841,NaN,NaN,45.952380952381,58.84078283864444,75.00737964325063,77.98190588710729,87.42106774685443,-16.5,0,0,0,0,0
